"Country","Education","Supernatural.Beliefs","Religious.Formation","Belief.In.God","Religious.Practice","Year"
"switzerland",5,0.302046921194537,0.940653107046288,0.0435874872343375,0.599951465806332,"2008"
"switzerland",5,0.890916624303687,0.626340452980147,0.00701536817209958,0.025387160451643,"2008"
"switzerland",7,0.677740308321937,0.723726341824768,0.975420972764951,0.672560139551061,"2008"
"switzerland",7,0.506712044591721,0.328663523712311,0.0223151956895459,0.129664394521534,"2008"
"switzerland",6,0.343113457451508,0.851242439689758,0.354690171782227,0.45228781246404,"2008"
"switzerland",4,0.961378134331158,0.0807290006338575,0.478532522883252,0.0595468281853381,"2008"
"switzerland",8,0.402269985576529,0.855444009827178,0.486434758807644,0.321682400644438,"2008"
"switzerland",7,0.825377481472252,0.375619042880721,0.0319535723457955,0.340656930385202,"2008"
"switzerland",4,0.0699269125763915,0.871586811434572,0.0397434871303325,0.264959825478688,"2008"
"switzerland",6,0.285055570561686,0.442750331745377,0.614107121636194,0.735548725920337,"2008"
"switzerland",8,0.0447978220077956,0.731515941586673,0.658740210021738,0.826733296838105,"2008"
"switzerland",5,0.642946280044492,0.828228834570154,0.0103152935706218,0.094866333181971,"2008"
"switzerland",5,0.716717307445171,0.0979881650628619,0.252747000933698,0.0766470396994494,"2008"
"switzerland",6,0.973974875384383,0.047999683195182,0.0158740835619604,0.05135101073404,"2008"
"switzerland",8,0.0410367725058315,0.923828645635928,0.502183819147475,0.529331584425962,"2008"
"switzerland",5,0.361008560375065,0.95998536432336,0.263246188886076,0.387884158910693,"2008"
"switzerland",7,0.54183007671839,0.907502304482104,0.252760996271142,0.602073756479955,"2008"
"switzerland",5,0.644091042428668,0.64244073639205,0.250413688843718,0.208943653247407,"2008"
"switzerland",7,0.237235816572194,0.7337368582697,0.975267503774836,0.693611958764792,"2008"
"switzerland",7,0.449743100903978,0.86036800372595,0.273539921093599,0.607780086833798,"2008"
"switzerland",6,0.882205346511273,0.296850720256934,0.484414306558666,0.0791630140020603,"2008"
"switzerland",4,0.138540780892314,0.913314791851758,0.0566310949398096,0.911887894017477,"2008"
"switzerland",4,0.298592733434098,0.644705085639618,0.0359044064957958,0.460385797273107,"2008"
"switzerland",5,0.511903208814697,0.805773579676613,0.255670300495915,0.357120429856396,"2008"
"switzerland",6,0.0945367187845083,0.922026990441831,0.310627870132569,0.385569403220649,"2008"
"switzerland",4,0.365450001246357,0.9350192447463,0.0380854163850926,0.277121231579405,"2008"
"switzerland",7,0.872567307372822,0.575765133651513,0.0681524284306122,0.323441154352285,"2008"
"switzerland",5,0.816930942813438,0.889168193038088,0.0499179324064781,0.900450959908451,"2008"
"switzerland",8,0.255778152404583,0.924158899631263,0.263213406446205,0.585635661963582,"2008"
"switzerland",5,0.23440488096012,0.913945957308396,0.0385541435564175,0.683768938162011,"2008"
"switzerland",4,0.804091323623171,0.95086300654397,0.303620877251188,0.259557635673672,"2008"
"switzerland",5,0.365909338384819,0.776587372384926,0.504985047036386,0.295411564340834,"2008"
"switzerland",7,0.292190672069862,0.881417990437397,0.0208536435360022,0.367264568877341,"2008"
