"Country","Education","Supernatural.Beliefs","Religious.Formation","Belief.In.God","Religious.Practice","Year"
"chile",4,0.19960763259716,0.947961733758057,0.23977025579985,0.2889069852075,"1998"
"chile",6,0.182082491081961,0.953863367441146,0.263760366886355,0.432575804944043,"1998"
"chile",3,0.139754506869503,0.931899075119762,0.276094168760393,0.586310030120942,"1998"
"chile",7,0.141401739310291,0.930652616488922,0.375764951947712,0.825000431885957,"1998"
"chile",4,0.765940937630182,0.859620799951994,0.0337426525949297,0.343722607871613,"1998"
"chile",8,0.289015887121449,0.947075079412882,0.410837872661056,0.296478409744691,"1998"
"chile",6,0.276708704351673,0.933258287441186,0.0308557524225844,0.291836281723744,"1998"
"chile",3,0.180532660731181,0.908759459187192,0.757270753278998,0.434214009531126,"1998"
"chile",3,0.0627643965082911,0.920848649756249,0.23645818368518,0.384652865917947,"1998"
"chile",6,0.0182592774952344,0.899417891858331,0.0577791173996804,0.843001098599629,"1998"
"chile",6,0.037689198598378,0.92121738772867,0.198769164310218,0.786224279029423,"1998"
"chile",3,0.644361437664846,0.925827587675136,0.503983269637069,0.659124619637406,"1998"
"chile",4,0.503431493235367,0.883504014097239,0.238452401518782,0.21829715754828,"1998"
"chile",4,0.17889469932906,0.936116867785846,0.0679627247899198,0.832056511034751,"1998"
"chile",3,0.255669015662572,0.777774433658083,0.346198924437948,0.0707167256850901,"1998"
"chile",8,0.042363971562539,0.91962348351542,0.752354392115866,0.381455243393562,"1998"
"chile",8,0.195898924293464,0.931707251289715,0.648205430307163,0.792642151506401,"1998"
"chile",6,0.0424383072322818,0.922120684800175,0.525742966971145,0.72360120385925,"1998"
"chile",4,0.277068436701442,0.928004073038811,0.968599806555172,0.76699271448608,"1998"
"chile",6,0.0160068037834223,0.9204279865584,0.763095890428245,0.839692494875095,"1998"
"chile",6,0.0803008529120111,0.872104213193395,0.275194661767179,0.125488666103376,"1998"
"chile",4,0.338204826723435,0.872982324293167,0.501073888686632,0.540128206486303,"1998"
