"Country","Education","Supernatural.Beliefs","Religious.Formation","Belief.In.God","Religious.Practice","Year"
"france",3,0.26867992671415,0.898874767732107,0.454406697765733,0.450281360396338,"2008"
"france",7,0.816010546027952,0.646578555983934,0.269098258550193,0.483786644583168,"2008"
"france",7,0.978226732532259,0.0356461618204889,0.0125685883626785,0.0725464514570597,"2008"
"france",5,0.261506393719034,1,0.0246008741270489,0.629801092777797,"2008"
"france",7,0.966506776533214,0.0469930887095027,0.0265098641456329,0.13694209451149,"2008"
"france",7,0.481096816633466,0.575864545896327,0.266221988599631,0.387497438212125,"2008"
"france",8,0.946223285349856,0.086377675576744,0.267249553191188,0.33535112169048,"2008"
"france",5,0.468772209437767,0.842503040323025,0.54286509529485,0.328795814885168,"2008"
"france",4,0.98018023251632,0.285813700017979,0.00910063422282783,0.0734172862791872,"2008"
"france",5,0.972951379533477,0.0436438947333598,0.0102853870085678,0.0369129561602274,"2008"
"france",6,0.576689427354322,0.840611588422766,0.0481189076996676,0.363324882159901,"2008"
"france",4,0.688943766857496,0.868143901346853,0.640732785081274,0.331408164961372,"2008"
"france",4,0.478273152780802,0.857782850832822,0.735961283399024,0.574821076003022,"2008"
"france",7,0.975935162231641,0.0397797138777635,0.0100295013866334,0.040761963298317,"2008"
"france",5,0.838442657448094,0.655085651464832,0.0271500579906364,0.254727616974533,"2008"
"france",3,0.574317858888767,0.665533891911266,0.402034970761522,0.158712295489369,"2008"
"france",8,0.686027092030595,0.31043309390436,0.025008914899262,0.0967773884139849,"2008"
"france",8,0.965433808329112,0.290003087658765,0.00817200938645911,0.0460966528759297,"2008"
"france",4,0.645646075879859,0.856441580069065,0.261418746405976,0.433604384711113,"2008"
"france",4,0.96864321021193,0.285736370826869,0.180030974892345,0.233181001283916,"2008"
"france",5,0.975935162231641,0.0397797138777635,0.0100295013866334,0.040761963298317,"2008"
"france",8,0.968527580647719,0.226724703882986,0.0243615112005635,0.0438813559673689,"2008"
"france",6,0.814610551380324,0.382405743702757,0.0143380437409721,0.168265342381441,"2008"
"france",6,0.923946609728952,0.0504638363375311,0.0106482789332162,0.0418863873646434,"2008"
"france",5,0.466523823526502,0.912351962992479,0.732048615319645,0.711673232652634,"2008"
"france",8,0.948902151274041,0.697887001314164,0.00892570492330001,0.260283565556561,"2008"
"france",4,0.963331014638726,0.0928583905318813,0.0230359388623692,0.0748317246463587,"2008"
"france",5,0.375259629444672,0.664178494728527,0.04124329445952,0.399315230839565,"2008"
"france",4,0.799170242969405,0.312789520854583,0.0121373561797624,0.0810439785450748,"2008"
"france",5,0.0589535381669543,0.890690039620258,0.043095173886508,0.341639608067899,"2008"
"france",4,0.978470282377504,0.0546973009126879,0.0153294352267176,0.0329180955359902,"2008"
"france",6,0.968972031545881,0.104547382878811,0.0104041996070502,0.0984356976864959,"2008"
"france",6,0.630170322880233,0.409479453538055,0.0280290038414594,0.101578561776452,"2008"
"france",4,0.0322565806945969,0.921158306860346,0.511106010259858,0.617649373276757,"2008"
"france",5,0.646473061205371,0.276818338800813,0.2040507193729,0.0895415677739051,"2008"
"france",8,0.975832365083308,0.0411438936049229,0.0120608088186281,0.0364912474129414,"2008"
"france",5,0.379746965343221,0.883779187180265,0.0241447549600582,0.0959700337204985,"2008"
"france",5,0.975935162231641,0.0397797138777635,0.0100295013866334,0.040761963298317,"2008"
"france",8,0.878209195285537,0.17032524969236,0.011190386159689,0.143950424061371,"2008"
"france",4,0.979817860632581,0.0774780441195883,0.00571842163859454,0.0746880163385983,"2008"
"france",8,0.646605383500953,0.303493091554871,0.0228882934047284,0.120822211786784,"2008"
"france",5,0.517385593962099,0.868347174181129,0.217823832450644,0.351377570675853,"2008"
"france",4,0.414510144674488,0.82909019463267,0.784087856187749,0.730613155018846,"2008"
"france",7,0.764377777487624,0.296874082189513,0.0158850553925695,0.0892511300418373,"2008"
"france",5,0.0546305563290247,0.944434125626836,0.416842446094394,0.691342702050453,"2008"
"france",5,0.966157394426995,0.119585708860201,0.0221177580724195,0.184604078586355,"2008"
"france",5,0.968289052632234,0.238603667480221,0.0320022070460868,0.0972805579484997,"2008"
"france",6,0.975044802305409,0.21406658813201,0.0339352897003959,0.162528091177093,"2008"
"france",7,0.665070838187715,0.408385345850747,0.035376329693801,0.224854668654085,"2008"
"france",5,0.700447630479972,0.896758354116648,0.253397836090659,0.486003093250312,"2008"
"france",8,0.935666388072156,0.25709153139912,0.0173164714999696,0.0548012760999027,"2008"
"france",4,0.960360608469123,0.302702214518437,0.258817960109754,0.11081313914764,"2008"
"france",5,0.938107663811075,0.0559254830345783,0.258083725386021,0.181783268105412,"2008"
"france",7,0.303279908435984,0.907002987940337,0.321574787434697,0.488244329809526,"2008"
"france",6,0.927466124429709,0.129234709872886,0.011896739180106,0.106496738237662,"2008"
"france",8,0.297885968505873,0.882969858966792,0.537539297222375,0.406275242045627,"2008"
"france",5,0.987230059507956,0.0613798971353074,0.00574339050369123,0.0759832545549724,"2008"
"france",6,0.640577113754932,0.414393306746851,0.265603249857201,0.141092524781424,"2008"
"france",5,0.98390401428072,0.0598497284728382,0.00931267963416581,0.0659522296493791,"2008"
"france",5,0.578821726724963,0.877717316823156,0.0232416512200988,0.185935230914426,"2008"
"france",8,0.538666270865545,0.369927273898602,0.0281781394815833,0.0664863789738702,"2008"
"france",7,0.900852668955224,0.265497130755643,0.0203030202087704,0.0820061836009073,"2008"
"france",8,0.978429498344547,0.0403408427623855,0.00969347906062494,0.0520526635285718,"2008"
"france",6,0.97066830486755,0.264619261604331,0.671808693335214,0.0723146237500381,"2008"
"france",4,0.975935162231641,0.0397797138777635,0.0100295013866334,0.040761963298317,"2008"
"france",7,0.965665772107516,0.0530322801537977,0.0213343377735509,0.105744783280762,"2008"
"france",6,0.962877553850335,0.0454774002823575,0.484134728004232,0.0533326364312556,"2008"
"france",5,0.62436646634028,0.410974346711082,0.206851415678328,0.138900755983297,"2008"
"france",4,0.30450797138377,0.866789767702067,0.0923036901596794,0.66379381293782,"2008"
"france",5,0.880176197458523,0.297800604697629,0.0116404673697797,0.0840036661185429,"2008"
"france",6,0.879538353358611,0.0533522916909512,0.010987583889405,0.0506692121003878,"2008"
"france",8,0.0933069950358428,0.916660145779657,0.0372569556459374,0.208763828588352,"2008"
"france",5,0.353032102602855,0.664797548115551,0.271179917377991,0.196974051253421,"2008"
"france",5,0.0705693495241708,0.878528129977157,0.0535283442908544,0.489242075843234,"2008"
"france",7,0.889484161615384,0.0558181852062207,0.01164996529531,0.0517048476077549,"2008"
"france",8,0.934496913924598,0.750102113157892,0.00362931950411016,0.221857556237145,"2008"
